Time,Substream_ID,<ticker>,<vol>,<close>,Critical
0,0,AAON,100,26.66,False
1,0,AAPL,123328,316.7112,False
2,0,AAWW,900,55.24,False
3,0,AAXJ,6700,62.67,False
4,0,ABAX,1240,27.87,False
5,0,ABCB,100,9.84,False
6,0,ABCD,3376,2.95,False
7,0,ABCO,3409,47.5,False
8,0,ABIO,100,3.67,False
9,0,ABMD,700,11.64,False
10,0,ABTL,8803,0.75,False
11,0,ACAD,500,0.6789,False
12,0,ACAS,34259,7.45,False
13,0,ACAT,1856,14.98,False
14,0,ACET,2511,7.76,False
15,0,ACFN,100,4.0,False
16,0,ACGL,8400,90.6,False
17,0,ACHN,100,2.9,False
18,0,ACIW,600,26.7,False
19,0,ACLS,2800,2.495,False
20,0,ACOR,4200,26.45,False
21,0,ACPW,1340,2.17,False
22,0,ACTG,4000,27.19,False
23,0,ACTS,100,2.09,False
24,0,ACUR,300,2.67,False
25,0,ACWI,5491,44.99,False
26,0,ACWX,4600,42.42,False
27,0,ACXM,4145,17.79,False
28,0,ADAT,500,0.59,False
29,0,ADBE,85360,28.3981,False
30,0,ADP,78836,46.04,False
31,0,ADRA,200,27.28,False
32,0,ADRE,100,46.11,False
33,0,ADRU,250,19.93,False
34,0,ADSK,26999,36.62,False
35,0,ADTN,11090,32.01,False
36,0,ADUS,100,4.1,False
37,0,ADVS,1900,52.83,False
38,0,AEGR,300,11.05,False
39,0,AEHR,2000,0.9313,False
40,0,AEIS,2200,12.0,False
41,0,AEPI,100,25.0,False
42,0,AEY,100,3.4901,False
43,0,AEZS,7800,1.4201,False
44,0,AFAM,923,35.43,False
45,0,AFFX,4800,4.23,False
46,0,AFOP,553,10.77,False
47,0,AFSI,6782,16.4,False
48,0,AGEN,13700,0.9226,False
49,0,AGII,600,37.5,False
50,0,AGNC,7022,29.43,False
51,0,AGYS,1100,4.93,False
52,0,AHGP,200,46.9,False
53,0,AIMC,2000,17.6,False
54,0,AINV,22263,10.86,False
55,0,AIRM,100,50.157,False
56,0,AIRT,100,9.8,False
57,0,AIXG,200,31.31,False
58,0,AKAM,24551,53.3801,False
59,0,AKRX,2500,5.23,False
60,0,ALGN,32400,17.89,False
61,0,ALGT,6940,50.52,False
62,0,ALIM,100,11.86,False
63,0,ALKS,3100,10.58,False
64,0,ALLT,1890,8.7,False
65,0,ALNY,4676,9.38,False
66,0,ALOG,700,47.02,False
67,0,ALSK,12344,10.68,False
68,0,ALTR,126144,36.85,False
69,0,ALXA,1332,0.906,False
70,0,ALXN,6012,76.18,False
71,0,AMAG,4000,15.62,False
72,0,AMAT,217143,12.77,False
73,0,AMCC,8100,9.68,False
74,0,AMCF,100,5.39,False
75,0,AMCN,5000,7.46,False
76,0,AMED,4811,28.78,False
77,0,AMGN,56854,53.451,False
78,0,AMKR,19611,7.04,False
79,0,AMOT,100,5.35,False
80,0,AMRI,1200,5.11,False
81,0,AMRN,352410,5.5,False
82,0,AMRS,400,21.5,False
83,0,AMSC,3834,33.7,False
84,0,AMSF,300,18.75,False
85,0,AMSG,1177,18.59,False
86,0,AMSWA,1890,6.9925,False
87,0,AMZN,64414,177.0299,False
88,0,ANAC,300,5.01,False
89,0,ANAD,18600,6.94,False
90,0,ANAT,1000,79.41,False
91,0,ANDE,2406,33.75,False
92,0,ANGO,982,14.21,False
93,0,ANSS,3026,50.55,False
94,0,AOSL,100,11.695,False
95,0,APEI,1800,33.3,False
96,0,APOG,1700,11.71,False
97,0,APOL,35916,34.445,False
98,0,APPY,3151,0.5742,False
99,0,APRI,1800,3.5,False
100,0,ARAY,700,6.08,False
101,0,ARCC,16708,16.69,False
102,0,ARCW,160,2.8,False
103,0,AREX,7082,18.755,False
104,0,ARIA,8961,4.17,False
105,0,ARII,3200,15.8,False
106,0,ARLP,3340,64.24,False
107,0,ARMH,50921,19.08,False
108,0,ARNA,154586,1.38,False
109,0,AROW,300,27.71,False
110,0,ARQL,300,5.52,False
111,0,ARRS,11257,10.29,False
112,0,ARRY,100,3.21,False
113,0,ARTW,100,9.7,False
114,0,ARTX,100,1.7,False
115,0,ARUN,98176,22.78,False
116,0,ARWR,100,0.95,False
117,0,ASBC,24134,13.14,False
118,0,ASCMA,800,31.01,False
119,0,ASEI,700,81.8,False
120,0,ASFI,700,7.11,False
121,0,ASMI,300,26.03,False
122,0,ASML,19400,34.44,False
123,0,ASPS,100,27.51,False
124,0,ASRVP,300,25.0,False
125,0,ASTC,14700,1.17,False
126,0,ASTE,1000,31.19,False
127,0,ASTI,2000,3.21,False
128,0,ASTM,26117,2.48,False
129,0,ASYS,7834,21.5,False
130,0,ATAX,100,5.3,False
131,0,ATEC,12605,2.22,False
132,0,ATHN,7400,43.82,False
133,0,ATML,69139,10.78,False
134,0,ATNI,2100,34.25,False
135,0,ATRC,1000,8.98,False
136,0,ATRI,300,170.21,False
137,0,ATRO,400,20.9,False
138,0,ATSG,5500,7.62,False
139,0,ATVI,208809,12.07,False
140,0,AUDC,3500,4.81,False
141,0,AUXL,3400,19.11,False
142,0,AVAV,2566,24.74,False
143,0,AVEO,100,15.01,False
144,0,AVGO,28311,26.6,False
145,0,AVNR,30288,4.15,False
146,0,AVNW,548,4.31,False
147,0,AWRE,200,2.8,False
148,0,AXAS,27805,4.35,False
149,0,AXTI,6200,8.6,False
150,0,AZPN,9417,13.01,False
151,0,BABY,2600,13.09,False
152,0,BAMM,300,6.5,False
153,0,BANR,2200,1.6476,False
154,0,BBBY,53304,44.64,False
155,0,BBEP,400,19.895,False
156,0,BBOX,300,36.89,False
157,0,BBRG,5000,17.78,False
158,0,BBSI,700,15.25,False
159,0,BCPC,200,31.54,False
160,0,BCRX,5400,4.995,False
161,0,BDE,596,7.01,False
162,0,BDGE,200,25.05,False
163,0,BDSI,8152,2.74,False
164,0,BEAT,900,4.01,False
165,0,BEAV,17494,36.5099,False
166,0,BEBE,15600,6.19,False
167,0,BECN,2830,17.6,False
168,0,BFIN,200,9.4,False
169,0,BGCP,10926,7.91,False
170,0,BGFV,800,13.85,False
171,0,BICK,155,32.3855,False
172,0,BIDU,83118,106.5527,False
173,0,BIIB,35052,65.57,False
174,0,BIOC,600,4.1,False
175,0,BIOD,1600,1.73,False
176,0,BIOF,1400,1.65,False
177,0,BIOS,3900,4.48,False
178,0,BIRT,1200,5.66,False
179,0,BJRI,400,37.38,False
180,0,BKCC,4800,11.52,False
181,0,BKMU,400,4.665,False
182,0,BLDP,200,1.39,False
183,0,BLDR,8500,1.48,False
184,0,BLKB,10700,26.635,False
185,0,BMRN,6500,27.14,False
186,0,BMTC,100,16.81,False
187,0,BNCL,1700,7.88,False
188,0,BOBE,1001,31.99,False
189,0,BOFI,100,13.95,False
190,0,BOKF,800,47.92,False
191,0,BOLT,100,13.2,False
192,0,BONT,800,13.92,False
193,0,BOOM,700,16.45,False
194,0,BPFH,3900,5.5,False
195,0,BPHX,14400,1.84,False
196,0,BPOP,100502,2.88,False
197,0,BRCD,43797,5.02,False
198,0,BRCM,79690,45.8,False
199,0,BRID,100,12.65,False
200,0,BRKL,5000,10.08,False
201,0,BRKR,11796,16.01,False
202,0,BRKS,76100,7.56,False
203,0,BRLI,2500,21.03,False
204,0,BSDM,2700,4.32,False
205,0,BSFT,12002,23.6,False
