Time,Substream_ID,timestamp,jobId,machineId,status,priority,Critical
0,0,600046926,6251537638,4304051942,4,2,False
1,0,1426238459,6251723929,4304051942,1,2,False
2,0,2140230497,6251784940,4304051942,1,2,False
3,0,2220843645,6251827185,4304051942,1,0,False
4,0,2392055035,6251723929,4304051942,4,2,False
5,0,2510010360,6251784940,4304051942,4,2,False
6,0,2510010366,6251827185,4304051942,4,0,False
7,0,2852989823,6251866953,4304051942,1,2,False
8,0,3026537198,6251866953,4304051942,4,2,True
9,1,600046937,6251537638,2887801682,4,2,False
10,1,760952858,6251672941,2887801682,1,2,False
11,1,988037165,6251672941,2887801682,4,2,False
12,1,1442182754,6251725155,2887801682,1,2,False
13,1,1820003672,6251725155,2887801682,4,2,False
14,1,2140226560,6251784940,2887801682,1,2,False
15,1,2238799227,6238340468,2887801682,1,0,False
16,1,2499428719,6251784940,2887801682,4,2,False
17,1,4008613604,6248963712,2887801682,4,2,True
18,2,600046983,6251537638,711419,4,2,False
19,2,1442187794,6251725155,711419,1,2,False
20,2,1828330508,6251725155,711419,4,2,False
21,2,2140249763,6251784940,711419,1,2,False
22,2,2178761480,6251803864,711419,1,2,False
23,2,2205329123,6251812952,711419,1,2,False
24,2,2499428784,6251784940,711419,4,2,False
25,2,2852985391,6251866953,711419,1,2,False
26,2,2910019252,6251803864,711419,4,2,False
27,2,3034083987,6251866953,711419,4,2,False
28,2,3413251979,6251892565,711419,1,2,False
29,2,3551559663,6251904229,711419,1,2,False
30,2,4008613643,6251892565,711419,4,2,False
31,2,4106706755,6251904229,711419,4,2,False
32,2,4207130289,6251938667,711419,1,0,False
33,2,4348319808,6251938667,711419,4,0,False
34,2,4367043110,6251951306,711419,1,2,False
35,2,4595628973,6251951306,711419,4,2,False
36,2,4841053128,6251969145,711419,1,2,False
37,2,5169228534,6251812952,711419,4,2,True
38,3,600047059,6251537638,765536,4,2,False
39,3,736666851,6251640760,765536,4,2,False
40,3,772866161,6251675508,765536,1,2,False
41,3,922771505,6251675508,765536,5,2,False
42,3,1400586922,6251717526,765536,1,2,False
43,3,1426245137,6251723929,765536,1,2,False
44,3,1442197544,6251725155,765536,1,2,False
45,3,1561597110,6251749146,765536,1,2,False
46,3,1696495439,6251717526,765536,4,2,False
47,3,1756986424,6251749146,765536,5,2,False
48,3,1959734207,6251725155,765536,4,2,False
49,3,2140237577,6251784940,765536,1,2,False
50,3,2144396383,6251787910,765536,1,2,False
51,3,2151666014,6251795690,765536,1,2,False
52,3,2474458065,6251723929,765536,4,2,False
53,3,2510010583,6251784940,765536,4,2,False
54,3,2570248737,6251787910,765536,4,2,False
55,3,2789562832,6251860459,765536,1,2,False
56,3,2828097969,6251795690,765536,4,2,False
57,3,2972303958,6251860459,765536,4,2,False
58,3,3276149542,6251887957,765536,1,2,False
59,3,3382102931,6251887957,765536,5,2,False
60,3,4188146457,6251933641,765536,1,2,False
61,3,4367036775,6251951306,765536,1,2,False
62,3,4580755184,6251951306,765536,4,2,True
63,4,600047200,6251537638,1436480987,4,2,False
64,4,1426244258,6251723929,1436480987,1,2,False
65,4,1601631083,6251753305,1436480987,1,2,False
66,4,2151674376,6251795690,1436480987,1,2,False
67,4,2227775614,6221861800,1436480987,2,0,False
68,4,2227775623,6251812952,1436480987,1,2,False
69,4,2602416478,6251723929,1436480987,4,2,False
70,4,2668288950,6251795690,1436480987,4,2,False
71,4,2754272497,6251753305,1436480987,4,2,False
72,4,2852998101,6251866953,1436480987,1,2,False
73,4,3034084311,6251866953,1436480987,4,2,False
74,4,4841047734,6251969145,1436480987,1,2,False
75,4,4929583961,6251812952,1436480987,4,2,False
76,4,5354787708,6251969145,1436480987,4,2,True
77,5,600047610,6251537638,1272794,4,2,False
78,5,746413443,6221861800,1272794,1,0,False
79,5,1054772692,6251698297,1272794,1,1,False
80,5,1083532564,6251698297,1272794,4,1,False
81,5,2228643517,6221861800,1272794,2,0,False
82,5,2228643526,6251812952,1272794,1,2,False
83,5,2229602474,5538815179,1272794,1,0,False
84,5,3898351145,6221861800,1272794,1,0,False
85,5,4950308728,6251982259,1272794,1,8,False
86,5,5312587661,6251982259,1272794,4,8,False
87,5,5330713181,6251812952,1272794,4,2,True
88,6,600047705,6251537638,6608660,4,2,False
89,6,729687346,6251640760,6608660,4,2,False
90,6,1351405224,6251539840,6608660,4,2,False
91,6,1426231445,6251722714,6608660,1,2,False
92,6,1426240367,6251723929,6608660,1,2,False
93,6,1851653568,6251722714,6608660,4,2,False
94,6,2126552135,6251784165,6608660,1,2,False
95,6,2166147033,6251784165,6608660,4,2,False
96,6,2178767185,6251803864,6608660,1,2,False
97,6,2236390987,6221861800,6608660,2,0,False
98,6,2236390996,6251812952,6608660,1,2,False
99,6,2237591377,6238340468,6608660,1,0,False
100,6,2683747963,6251723929,6608660,4,2,False
101,6,2925179675,6251803864,6608660,4,2,False
102,6,3413241542,6251892565,6608660,1,2,False
103,6,3629290951,6221861800,6608660,1,0,False
104,6,3992080291,6251892565,6608660,4,2,False
105,6,4225980586,6251941721,6608660,1,2,False
106,6,4356416232,6251941721,6608660,4,2,False
107,6,4814905057,6251812952,6608660,4,2,False
108,6,5080365295,6251812952,6608660,1,2,False
109,6,5232874320,6251812952,6608660,4,2,True
110,7,1704035934,6251717526,1302287,4,2,False
111,7,1735329821,6251754480,1302287,4,2,False
112,7,2140240363,6251784940,1302287,1,2,False
113,7,2227777022,6221861800,1302287,2,0,False
114,7,2227777031,6251812952,1302287,1,2,False
115,7,2499430453,6251784940,1302287,4,2,False
116,7,2852997580,6251866953,1302287,1,2,False
117,7,3001778567,6251866953,1302287,4,2,False
118,7,3939583391,6251921741,1302287,1,2,False
119,7,4367044549,6251951306,1302287,1,2,False
120,7,4580755900,6251951306,1302287,4,2,False
121,7,4595629996,6251921741,1302287,4,2,False
122,7,4785138910,6251812952,1302287,4,2,True
123,8,956409431,6251637895,13272059,4,0,False
124,8,1442228792,6251726235,13272059,1,2,False
125,8,1601642907,6251754480,13272059,1,2,False
126,8,1732548042,6251754480,13272059,4,2,False
127,8,2178762991,6251803864,13272059,1,2,False
128,8,2977674840,6251803864,13272059,4,2,False
129,8,3100549545,6251726235,13272059,4,2,False
130,8,3413247585,6251892565,13272059,1,2,False
131,8,4066761910,6251892565,13272059,4,2,False
132,8,4225969571,6251941721,13272059,1,2,False
133,8,4353410591,6251941721,13272059,4,2,True
134,9,600818396,6251537638,660408,4,2,False
135,9,1426244272,6251723929,660408,1,2,False
136,9,2205326712,6251812952,660408,1,2,False
137,9,2328402410,6251723929,660408,4,2,False
138,9,2640762585,6251849958,660408,1,2,False
139,9,2821129972,6251849958,660408,4,2,False
140,9,2852999708,6251866953,660408,1,2,False
141,9,3864901120,6251866953,660408,5,2,False
142,9,4763551797,6251812952,660408,4,2,True
143,10,600818433,6251537638,6565524,4,2,False
144,10,763190204,6251674199,6565524,1,2,False
145,10,1312432254,6251674199,6565524,5,2,False
146,10,1442211717,6251726235,6565524,1,2,False
147,10,2237592933,6251699911,6565524,1,0,False
148,10,3134839667,6251726235,6565524,4,2,False
149,10,3276149414,6251887957,6565524,1,2,False
150,10,3382102814,6251887957,6565524,5,2,False
151,10,4225981577,6251941721,6565524,1,2,False
152,10,4349178013,6251941721,6565524,4,2,False
153,10,4952021792,6251982423,6565524,1,2,False
154,10,5203537197,6251982423,6565524,4,2,True
155,11,600818580,6251537638,1734648,4,2,False
156,11,872246476,6251687275,1734648,1,2,False
157,11,1384976648,6251687275,1734648,4,2,False
158,11,1426220923,6251722714,1734648,1,2,False
159,11,1601642042,6251754480,1734648,1,2,False
160,11,1778868672,6251754480,1734648,5,2,False
161,11,1821155526,6251722714,1734648,4,2,False
162,11,2140226392,6251784940,1734648,1,2,False
163,11,2451073327,6238340468,1734648,2,0,False
164,11,2451073337,6251625636,1734648,1,1,False
165,11,2452697496,6238340468,1734648,1,0,False
166,11,2500323555,6251784940,1734648,4,2,False
167,11,2726766944,6251856390,1734648,1,2,False
168,11,2900459845,6251856390,1734648,5,2,False
169,11,3551553659,6251904229,1734648,1,2,False
170,11,4017285253,6251904229,1734648,4,2,False
171,11,4952019060,6251982423,1734648,1,2,False
172,11,5203537400,6251982423,1734648,4,2,True
173,12,600818639,6251630964,4820023833,4,2,False
174,12,1442218473,6251726235,4820023833,1,2,False
175,12,1762199889,6251767401,4820023833,1,2,False
176,12,1866917611,6251767401,4820023833,4,2,False
177,12,2178764173,6251803864,4820023833,1,2,False
178,12,3096704270,6251726235,4820023833,4,2,False
179,12,3474307756,6251803864,4820023833,4,2,False
180,12,3527459537,6251899333,4820023833,1,2,False
181,12,3699202474,6251899333,4820023833,4,2,True
182,13,600818656,6251537638,682467,4,2,False
183,13,1400585732,6251717526,682467,1,2,False
184,13,1426248313,6251723929,682467,1,2,False
185,13,1697221653,6251717526,682467,4,2,False
186,13,2140251510,6251784940,682467,1,2,False
187,13,2229602897,6221861800,682467,1,0,False
188,13,2410113558,6251723929,682467,5,2,False
189,13,2464412801,4768896398,682467,1,0,False
190,13,2483734087,6251784940,682467,4,2,False
191,13,4207129469,6251938667,682467,1,0,False
192,13,4335183927,6251938667,682467,4,0,False
193,13,4841046457,6251969145,682467,1,2,False
194,13,5355629972,6251969145,682467,4,2,True
195,14,600818887,6251537638,6607995,4,2,False
196,14,1442221161,6251726235,6607995,1,2,False
197,14,2238941638,6238340468,6607995,2,0,False
198,14,2238941648,6251812952,6607995,1,2,False
199,14,2241326677,6221861800,6607995,1,0,False
200,14,2459289862,6218406404,6607995,2,0,False
201,14,2459289870,6238340468,6607995,2,0,False
202,14,2459289880,6251625636,6607995,1,1,False
203,14,2460088559,6238340468,6607995,1,0,False
204,14,3081074327,6251726235,6607995,4,2,False
205,14,4946025553,6251812952,6607995,4,2,False
206,14,4952038906,6251983768,6607995,1,0,False
207,14,5016151916,6251983768,6607995,4,0,True
208,15,600819060,6251537638,84878493,4,2,False
209,15,760954913,6251672941,84878493,1,2,False
210,15,966963354,6251672941,84878493,4,2,False
211,15,1426240593,6251723929,84878493,1,2,False
212,15,1601634830,6251753305,84878493,1,2,False
213,15,1736361166,6251753305,84878493,4,2,False
214,15,2102276026,6251779174,84878493,1,2,False
215,15,2140231412,6251784940,84878493,1,2,False
216,15,2511833757,6251784940,84878493,4,2,False
217,15,2543790671,6251779174,84878493,4,2,False
218,15,2709370781,6251723929,84878493,4,2,False
219,15,2789563672,6251860459,84878493,1,2,False
220,15,2950067809,6251860459,84878493,4,2,False
221,15,4373001350,6250345153,84878493,3,0,False
222,15,4406347906,515042969,84878493,1,0,False
223,15,4638083408,515042969,84878493,1,0,False
224,15,4681120100,515042969,84878493,1,0,False
225,15,4898636273,515042969,84878493,1,0,False
226,15,4910253250,515042969,84878493,1,0,False
227,15,4952029920,6251982423,84878493,1,2,False
228,15,5211770711,6251982423,84878493,4,2,True
229,16,601622414,6251537638,3313055599,4,2,False
230,16,1373718959,6251712256,3313055599,1,2,False
231,16,1792053262,6251712256,3313055599,5,2,False
232,16,2140230539,6251784940,3313055599,1,2,False
233,16,2220843742,6251827185,3313055599,1,0,False
234,16,2223258813,6238340468,3313055599,1,0,False
235,16,2492840831,6251784940,3313055599,4,2,False
236,16,2492840837,6251827185,3313055599,4,0,False
237,16,2640768187,6251849958,3313055599,1,2,False
238,16,3451853029,6251849958,3313055599,4,2,True
239,17,601622754,6251537638,1094605,4,2,False
240,17,872252763,6251687275,1094605,1,2,False
241,17,1402059311,6251687275,1094605,4,2,False
242,17,1426243972,6251723929,1094605,1,2,False
243,17,2151675493,6251795690,1094605,1,2,False
244,17,2638218114,6251795690,1094605,4,2,False
245,17,2741331421,6251723929,1094605,4,2,False
246,17,3853047137,6251915193,1094605,1,2,False
247,17,4100239577,6251915193,1094605,4,2,False
248,17,4853924857,6251974185,1094605,1,2,False
249,17,5371620111,6251974185,1094605,4,2,True
250,18,601622860,6251537638,422080,4,2,False
251,18,731228314,6251640760,422080,4,2,False
252,18,763195248,6251674199,422080,1,2,False
253,18,927961696,6251674199,422080,4,2,False
254,18,1373712899,6251712256,422080,1,2,False
255,18,1728788547,6251712256,422080,4,2,False
256,18,2102282294,6251779174,422080,1,2,False
257,18,2229685295,5966089485,422080,2,0,False
258,18,2229685303,6221861800,422080,2,0,False
259,18,2229685311,6238340468,422080,2,0,False
260,18,2229685323,6251812952,422080,1,2,False
261,18,2230648992,6238340468,422080,1,0,False
262,18,2596940573,6251779174,422080,4,2,False
263,18,4225978628,6251941721,422080,1,2,False
264,18,4349991926,6251941721,422080,4,2,False
265,18,4801596444,6251812952,422080,4,2,True
266,19,601623166,6251537638,8055700,4,2,False
267,19,1442224974,6251726235,8055700,1,2,False
268,19,1601634425,6251753305,8055700,1,2,False
269,19,1737345011,6251753305,8055700,4,2,False
270,19,2126553714,6251784165,8055700,1,2,False
271,19,2240265520,6251784165,8055700,4,2,False
272,19,2244975942,6221861800,8055700,1,0,False
273,19,2244978498,6238340468,8055700,1,0,False
274,19,2796419065,6251803864,8055700,1,2,False
275,19,2974256360,6251803864,8055700,4,2,False
